anio,mes,dia,hora(utc),altura(mm)
2016,4,24,9,-137
2016,4,24,10,-177
2016,4,24,11,-135
2016,4,24,12,-24
2016,4,24,13,119
2016,4,24,14,253
2016,4,24,15,348
2016,4,24,16,395
2016,4,24,17,386
2016,4,24,18,326
2016,4,24,19,242
2016,4,24,20,174
2016,4,24,21,150
2016,4,24,22,179
2016,4,24,23,260
2016,4,25,0,382
2016,4,25,1,512
2016,4,25,2,611
2016,4,25,3,655
2016,4,25,4,638
2016,4,25,5,555
2016,4,25,6,409
2016,4,25,7,224
2016,4,25,8,47
2016,4,25,9,-83
2016,4,25,10,-147
2016,4,25,11,-139
2016,4,25,12,-63
2016,4,25,13,56
2016,4,25,14,179
2016,4,25,15,274
2016,4,25,16,329
2016,4,25,17,341
2016,4,25,18,309
2016,4,25,19,250
2016,4,25,20,194
2016,4,25,21,174
2016,4,25,22,199
2016,4,25,23,270
2016,4,26,0,375
2016,4,26,1,495
2016,4,26,2,593
2016,4,26,3,642
2016,4,26,4,633
2016,4,26,5,569
2016,4,26,6,452
2016,4,26,7,293
2016,4,26,8,128
2016,4,26,9,-6
2016,4,26,10,-86
2016,4,26,11,-107
2016,4,26,12,-68
2016,4,26,13,16
2016,4,26,14,117
2016,4,26,15,203
2016,4,26,16,258
2016,4,26,17,281
2016,4,26,18,273
2016,4,26,19,242
2016,4,26,20,206
2016,4,26,21,194
2016,4,26,22,220
2016,4,26,23,283
2016,4,27,0,373
2016,4,27,1,477
2016,4,27,2,568
2016,4,27,3,618
2016,4,27,4,616
2016,4,27,5,566
2016,4,27,6,475
2016,4,27,7,350
2016,4,27,8,211
2016,4,27,9,86
2016,4,27,10,1
2016,4,27,11,-39
2016,4,27,12,-34
2016,4,27,13,11
2016,4,27,14,78
2016,4,27,15,143
2016,4,27,16,190
2016,4,27,17,215
2016,4,27,18,222
2016,4,27,19,217
2016,4,27,20,207
2016,4,27,21,211
2016,4,27,22,242
2016,4,27,23,301
2016,4,28,0,378
2016,4,28,1,462
2016,4,28,2,537
2016,4,28,3,582
2016,4,28,4,584
2016,4,28,5,545
2016,4,28,6,476
2016,4,28,7,386
2016,4,28,8,282
2016,4,28,9,182
2016,4,28,10,104
2016,4,28,11,57
2016,4,28,12,38
2016,4,28,13,46
2016,4,28,14,72
2016,4,28,15,105
2016,4,28,16,131
2016,4,28,17,149
2016,4,28,18,163
2016,4,28,19,178
2016,4,28,20,196
2016,4,28,21,223
2016,4,28,22,266
2016,4,28,23,326
2016,4,29,0,393
2016,4,29,1,457
2016,4,29,2,508
2016,4,29,3,538
2016,4,29,4,536
2016,4,29,5,502
2016,4,29,6,450
2016,4,29,7,390
2016,4,29,8,327
2016,4,29,9,264
2016,4,29,10,212
2016,4,29,11,172
2016,4,29,12,142
2016,4,29,13,120
2016,4,29,14,106
2016,4,29,15,97
2016,4,29,16,91
2016,4,29,17,90
2016,4,29,18,101
2016,4,29,19,128
2016,4,29,20,171
2016,4,29,21,226
2016,4,29,22,291
2016,4,29,23,360
2016,4,30,0,423
2016,4,30,1,469
2016,4,30,2,493
2016,4,30,3,495
2016,4,30,4,475
2016,4,30,5,436
2016,4,30,6,391
2016,4,30,7,355
2016,4,30,8,331
2016,4,30,9,315
2016,4,30,10,303
2016,4,30,11,289
2016,4,30,12,267
2016,4,30,13,232
2016,4,30,14,184
2016,4,30,15,131
2016,4,30,16,83
2016,4,30,17,50
2016,4,30,18,44
2016,4,30,19,72
2016,4,30,20,132
2016,4,30,21,216
2016,4,30,22,311
2016,4,30,23,401
